Vivado Simulator 2019.2
Time resolution is 1 ps
[1500000 ns] anode=11111 seg=11111111 anode_off=111
[12500000 ns] anode=11111 seg=11000000 anode_off=111
[13500000 ns] anode=11110 seg=11000000 anode_off=111
[845500000 ns] anode=11111 seg=11000000 anode_off=111
[846500000 ns] anode=11101 seg=11000000 anode_off=111
[1008500000 ns] anode=11111 seg=11000000 anode_off=111
[1012500000 ns] anode=11101 seg=11000000 anode_off=111
[1678500000 ns] anode=11111 seg=11000000 anode_off=111
[1679500000 ns] anode=11011 seg=11000000 anode_off=111
[2008500000 ns] anode=11111 seg=11000000 anode_off=111
[2012500000 ns] anode=11011 seg=11000000 anode_off=111
[2511500000 ns] anode=11111 seg=11000000 anode_off=111
[2512500000 ns] anode=10111 seg=11000000 anode_off=111
[3008500000 ns] anode=11111 seg=11000000 anode_off=111
[3012500000 ns] anode=10111 seg=11000000 anode_off=111
[3344500000 ns] anode=11111 seg=11111001 anode_off=111
[3345500000 ns] anode=01111 seg=11111001 anode_off=111
[4008500000 ns] anode=11111 seg=11111001 anode_off=111
[4012500000 ns] anode=01111 seg=11111001 anode_off=111
[4177500000 ns] anode=11111 seg=10010010 anode_off=111
[4178500000 ns] anode=11110 seg=10010010 anode_off=111
[5008500000 ns] anode=11111 seg=10010010 anode_off=111
[5010500000 ns] anode=11111 seg=10011001 anode_off=111
[5012500000 ns] anode=11101 seg=10011001 anode_off=111
[5843500000 ns] anode=11111 seg=10110000 anode_off=111
[5844500000 ns] anode=11011 seg=10110000 anode_off=111
[6008500000 ns] anode=11111 seg=10110000 anode_off=111
[6012500000 ns] anode=11011 seg=10110000 anode_off=111
[6676500000 ns] anode=11111 seg=10100100 anode_off=111
[6677500000 ns] anode=10111 seg=10100100 anode_off=111
[7008500000 ns] anode=11111 seg=10100100 anode_off=111
[7012500000 ns] anode=10111 seg=10100100 anode_off=111
[7509500000 ns] anode=11111 seg=11111001 anode_off=111
[7510500000 ns] anode=01111 seg=11111001 anode_off=111
[8008500000 ns] anode=11111 seg=11111001 anode_off=111
[8012500000 ns] anode=01111 seg=11111001 anode_off=111
[8342500000 ns] anode=11111 seg=10010010 anode_off=111
[8343500000 ns] anode=11110 seg=10010010 anode_off=111
[9008500000 ns] anode=11111 seg=10010010 anode_off=111
[9012500000 ns] anode=11110 seg=10010010 anode_off=111
